ID,Stock,Date,Len,Age
5346,BBN,10/1/2013,519,21
5347,BBN,10/1/2013,543,10
5348,BBN,10/1/2013,466,8
5349,BBN,10/1/2013,555,8
5350,BBN,10/1/2013,487,8
5351,BBN,10/3/2013,542,11
5352,BBN,10/3/2013,528,11
5353,BBN,10/3/2013,522,9
5354,BBN,10/3/2013,454,8
5355,BBN,10/3/2013,562,8
5356,BBN,10/3/2013,508,14
5357,BBN,10/3/2013,587,12
5358,BBN,10/3/2013,512,12
5359,BBN,10/3/2013,512,12
5360,BBN,10/3/2013,508,21
5361,BBN,10/3/2013,529,18
5362,BBN,10/3/2013,507,11
5363,BBN,10/3/2013,563,17
5365,BBN,10/3/2013,515,18
5366,BBN,10/3/2013,531,13
5367,BBN,10/3/2013,532,22
5368,BBN,10/3/2013,556,28
5369,BBN,10/3/2013,503,19
5370,BBN,10/3/2013,570,18
5371,BBN,10/3/2013,485,11
5372,BBN,10/3/2013,555,11
5373,BBN,10/3/2013,517,19
5374,BBN,10/3/2013,609,18
5375,BBN,10/3/2013,508,17
5376,BBN,10/3/2013,520,16
5377,BBN,10/3/2013,570,22
5378,BBN,10/3/2013,528,16
5379,BBN,10/3/2013,584,16
5380,BBN,10/3/2013,528,16
5381,BBN,10/3/2013,540,19
5382,BBN,10/3/2013,475,8
5383,BBN,10/3/2013,570,18
5384,BBN,10/3/2013,554,12
5385,BBN,10/3/2013,588,21
5386,BBN,10/3/2013,539,15
5387,BBN,10/3/2013,567,19
5388,BBN,10/3/2013,512,11
5389,BBN,10/3/2013,555,18
5390,BBN,10/3/2013,544,12
5391,BBN,10/3/2013,568,16
5392,BBN,10/3/2013,520,10
5393,BBN,10/3/2013,560,10
5394,BBN,10/3/2013,580,14
5395,BBN,10/3/2013,577,17
5396,BBN,10/3/2013,477,7
5397,BBN,10/3/2013,537,18
5398,BBN,10/3/2013,543,16
5399,BBN,10/3/2013,518,13
5400,BBN,10/3/2013,538,16
5401,BBN,10/4/2013,564,20
5402,BBN,10/4/2013,539,20
5403,BBN,10/4/2013,564,14
5404,BBN,10/4/2013,489,12
5405,BBN,10/4/2013,487,12
5406,BBN,10/4/2013,580,13
5758,BBN,10/22/2013,566,20
5759,BBN,10/22/2013,416,8
5760,BBN,10/22/2013,541,21
5761,BBN,10/22/2013,566,20
5762,BBN,10/22/2013,542,9
5763,BBN,10/22/2013,565,19
5764,BBN,10/22/2013,578,17
5765,BBN,10/22/2013,500,22
5766,BBN,10/22/2013,523,11
5767,BBN,10/22/2013,512,11
5768,BBN,10/22/2013,634,8
5769,BBN,10/22/2013,551,21
5770,BBN,10/22/2013,547,21
5771,BBN,10/22/2013,553,16
5772,BBN,10/22/2013,538,16
5773,BBN,10/22/2013,517,15
5774,BBN,10/22/2013,543,20
5775,BBN,10/22/2013,548,20
5777,BBN,10/22/2013,543,17
5778,BBN,10/22/2013,534,19
5779,BBN,10/22/2013,554,19
5780,BBN,10/22/2013,556,21
5781,BBN,10/22/2013,551,18
