ID,Zone,Date,Len,Age
5764,WFM-01,10/22/2013,578,17
5765,WFM-01,10/22/2013,500,22
5766,WFM-01,10/22/2013,523,11
5767,WFM-01,10/22/2013,512,11
5768,WFM-01,10/22/2013,634,8
5769,WFM-01,10/22/2013,551,21
5770,WFM-01,10/22/2013,547,21
5771,WFM-01,10/22/2013,553,16
5772,WFM-01,10/22/2013,538,16
5773,WFM-01,10/22/2013,517,15
5774,WFM-01,10/22/2013,543,20
5775,WFM-01,10/22/2013,548,20
5777,WFM-01,10/22/2013,543,17
5778,WFM-01,10/22/2013,534,19
5779,WFM-01,10/22/2013,554,19
5780,WFM-01,10/22/2013,556,21
5781,WFM-01,10/22/2013,551,18
5782,WFM-01,10/22/2013,537,14
5783,WFM-01,10/22/2013,570,20
5784,WFM-01,10/22/2013,548,18
5785,WFM-01,10/22/2013,437,23
5786,WFM-01,10/22/2013,452,11
5787,WFM-01,10/22/2013,372,6
5788,WFM-01,10/22/2013,431,22
5789,WFM-01,10/22/2013,434,12
5790,WFM-01,10/22/2013,554,17
5791,WFM-01,10/22/2013,535,13
5792,WFM-01,10/22/2013,505,9
5793,WFM-01,10/22/2013,525,9
5794,WFM-01,10/22/2013,557,18
5795,WFM-01,10/22/2013,594,17
5796,WFM-01,10/22/2013,461,8
5797,WFM-01,10/22/2013,478,11
5798,WFM-01,10/22/2013,506,21
5799,WFM-01,10/22/2013,527,20
5800,WFM-01,10/22/2013,535,19
5801,WFM-01,10/22/2013,535,12
5802,WFM-01,10/22/2013,520,11
5803,WFM-01,10/22/2013,505,13
5804,WFM-01,10/22/2013,520,17
5805,WFM-01,10/22/2013,559,18
5806,WFM-01,10/22/2013,523,9
5807,WFM-01,10/22/2013,573,17
3009,WI-2,10/24/2013,586,12
3010,WI-2,10/24/2013,523,19
3011,WI-2,10/24/2013,535,14
3012,WI-2,10/24/2013,527,12
3013,WI-2,10/24/2013,521,12
3014,WI-2,10/24/2013,562,12
3015,WI-2,10/24/2013,508,9
